City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
tiznit,29.5833,-9.5,79.95,19,1,0.51,MA,1634462485
sokolo,14.7328,-6.1219,90.27,28,93,2.98,ML,1634462486
maldonado,-34.6667,-54.9167,47.23,76,0,4.72,UY,1634462486
kalabo,-14.97,22.6814,94.37,25,5,7.4,ZM,1634462487
ushuaia,-54.8,-68.3,33.46,86,75,12.66,AR,1634462250
touros,-5.1989,-35.4608,74.3,83,40,13.89,BR,1634462487
rikitea,-23.1203,-134.9692,75.06,75,7,14.2,PF,1634462386
san policarpo,13.3034,-4.8956,88.3,39,27,6.49,ML,1634462302
ancud,-41.8697,-73.8203,42.42,91,7,3.74,CL,1634462489
lompoc,34.6391,-120.4579,62.53,47,1,6.91,US,1634462490
atuona,-9.8,-139.0333,77.36,81,18,17.6,PF,1634462490
pandan niog,14.0453,124.1694,80.98,85,100,7.99,PH,1634462490
raga,8.4596,25.678,87.51,54,31,2.95,SS,1634462491
torbay,47.6666,-52.7314,42.58,96,90,14.97,CA,1634462491
mataura,-46.1927,168.8643,49.51,86,100,0.54,NZ,1634462385
sorland,67.667,12.6934,37.47,72,100,18.99,NO,1634462492
chapais,49.7834,-74.8492,44.38,94,100,12.33,CA,1634462492
ribeira grande,42.7461,-8.4439,68.09,84,75,3,ES,1634462396
hermanus,-34.4187,19.2345,61.9,69,67,11.23,ZA,1634462394
rio grande,38.3,21.7833,66.6,79,59,3.36,GR,1634462394
horki,54.2861,30.9842,42.78,63,55,14.27,BY,1634462493
barrow,71.2906,-156.7887,21.22,63,90,4.61,US,1634462494
wanaka,-44.7,169.15,50.11,87,86,1.01,NZ,1634462494
bethel,41.3712,-73.414,54.01,90,1,5.75,US,1634462384
busselton,-33.65,115.3333,65.05,66,81,9.78,AU,1634462383
banda aceh,25.4833,80.3333,95.23,46,12,12.19,IN,1634462495
jamestown,42.097,-79.2353,50.52,99,90,5.99,US,1634462227
provideniya,64.3833,-173.3,29.37,83,100,25.1,RU,1634462496
port alfred,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462389
