City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel Name
tiznit,29.5833,-9.5,79.95,19,1,0.51,MA,1634462485,Hotel L'Arganier d'Ammelne
maldonado,-34.6667,-54.9167,47.23,76,0,4.72,UY,1634462486,Casapueblo Hotel
rikitea,-23.1203,-134.9692,75.06,75,7,14.2,PF,1634462386,Pension Bianca & Benoit
lompoc,34.6391,-120.4579,62.53,47,1,6.91,US,1634462490,Hotel Corque
hermanus,-34.4187,19.2345,61.9,69,67,11.23,ZA,1634462394,Houw Hoek Hotel
rio grande,38.3,21.7833,66.6,79,59,3.36,GR,1634462394,Poseidon Palace
horki,54.2861,30.9842,42.78,63,55,14.27,BY,1634462493,Hotel ATRIUM
port alfred,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462389,Embassy Suites by Hilton The Woodlands at Hughes Landing
haines junction,59.2286,-135.4441,33.55,69,1,9.22,US,1634462498,Aspen Suites Hotel Haines
letka,59.6011,49.4232,46.47,68,4,12.19,RU,1634462499,Florentsiya
palmer,42.1584,-72.3287,54.39,79,1,9.22,US,1634462507,Avon Old Farms Hotel
hobart,-42.8794,147.3294,55.26,67,40,0.0,AU,1634462445,Hotel Grand Chancellor Hobart
salinas,36.6777,-121.6555,64.38,51,1,4.61,US,1634462509,The Monterey Hotel
billings,45.7833,-108.5007,52.5,66,1,10.36,US,1634462358,Days Inn by Wyndham Billings
muli,2.9167,73.5667,83.44,78,79,19.15,MV,1634462481,Medhufushi Island Resort
nhulunbuy,-12.2333,136.7667,84.81,74,34,6.91,AU,1634462511,Walkabout Lodge & Tavern
saint-philippe,-21.3585,55.7679,81.95,80,30,14.94,RE,1634462405,Palm Hotel & Spa
kahului,20.8947,-156.47,75.85,77,1,12.66,US,1634462512,Hotel Moloka'i
van,38.4924,43.3831,63.75,45,20,6.91,TR,1634462513,DoubleTree by Hilton Hotel Van
boralday,43.3578,76.8594,62.46,31,0,8.95,KZ,1634462515,"The Ritz-Carlton, Almaty"
port elizabeth,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462516,Embassy Suites by Hilton The Woodlands at Hughes Landing
lugovoy,42.9472,72.7644,63.52,28,1,8.81,KZ,1634462519,Kerben Palace Hotel
hithadhoo,-0.6,73.0833,83.16,79,53,17.85,MV,1634462522,Equator Village
port blair,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462516,Embassy Suites by Hilton The Woodlands at Hughes Landing
laguna,38.421,-121.4238,66.02,51,1,4.61,US,1634462523,Best Western Roseville Inn
maroantsetra,-15.4333,49.7333,80.47,57,21,10.69,MG,1634462524,Hotel l'Hippocampe
bunia,1.5667,30.25,75.69,69,54,1.43,CD,1634462525,Hotel Karibuni
jumla,29.2747,82.1838,69.26,51,50,6.64,NP,1634462526,Rara Shangrila Resort
clyde river,41.3042,-82.9752,52.12,77,27,11.74,US,1634462527,Comfort Inn Sandusky
harper,4.375,-7.7169,80.64,80,39,3.69,LR,1634462529,hotêl doufoulougou
butaritari,3.0707,172.7902,81.61,73,9,8.63,KI,1634462531,Hyatt Centric The Woodlands
port lincoln,-7.0349,29.7638,80.56,63,71,4.97,CD,1634462389,Embassy Suites by Hilton The Woodlands at Hughes Landing
carnarvon,-24.8667,113.6333,71.67,60,40,14.97,AU,1634462399,Wintersun Caravan and Tourist Park
ilinskiy,55.619,38.1182,48.42,71,0,11.18,RU,1634462532,Hotel KOSMOS
faanui,-16.4833,-151.75,80.44,73,1,17.67,PF,1634462384,Hotel Maitai Polynesia
nikolskoye,59.7035,30.7861,44.87,59,73,12.55,RU,1634462535,Grand Hotel Tchaikovsky
puerto ayora,36.5939,-6.233,69.62,74,0,4.61,ES,1634462388,Elba Costa Ballena Beach & Thalasso Resort
khromtau,50.2503,58.4347,60.69,25,47,12.17,KZ,1634462538,BuClub
